City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,santa ana,33.7456,-117.8678,21.360000000000014,82,0,2.06,US,2024-08-28
72,robore,-18.3333,-59.75,18.78000000000003,36,1,1.52,BO,2024-08-28
73,roccella ionica,38.322,16.4009,25.310000000000002,63,24,3.14,IT,2024-08-28
74,saudarkrokur,65.7461,-19.6394,5.680000000000007,92,100,1.45,IS,2024-08-28
75,ribeira grande,38.5167,-28.7,20.430000000000007,81,93,1.79,PT,2024-08-28
76,albany,42.6001,-73.9662,22.350000000000023,82,78,1.94,US,2024-08-28
77,saint-pierre,-21.3393,55.4781,22.82000000000005,60,0,9.77,RE,2024-08-28
78,talnakh,69.4865,88.3972,16.129999999999995,79,100,1.4,RU,2024-08-28
79,lazaro cardenas,17.9583,-102.2,27.120000000000005,85,99,0.81,MX,2024-08-28
80,geraldton,-28.7667,114.6,22.230000000000018,68,75,1.54,AU,2024-08-28
81,bang racham,14.892,100.3173,30.53000000000003,68,100,2.25,TH,2024-08-28
82,terrace,54.5163,-128.6035,13.950000000000045,67,20,1.54,CA,2024-08-28
83,avra valley,32.4379,-111.3154,32.55000000000001,36,59,4.57,US,2024-08-28
84,tura,25.5198,90.2201,30.74000000000001,68,38,1.55,IN,2024-08-28
85,sengiley,53.9622,48.7944,22.05000000000001,49,7,2.0,RU,2024-08-28
86,manokwari,-0.8667,134.0833,29.49000000000001,63,9,1.8,ID,2024-08-28
87,caleta de carquin,-11.0925,-77.6267,16.150000000000034,86,25,4.52,PE,2024-08-28
88,ad dilam,23.9915,47.1627,37.35000000000002,16,4,5.2,SA,2024-08-28
89,luwuk,-0.9516,122.7875,26.04000000000002,80,81,4.11,ID,2024-08-28
90,nova vicosa,-17.8919,-39.3719,22.03000000000003,78,100,7.07,BR,2024-08-28
91,puerto natales,-51.7236,-72.4875,3.57000000000005,87,90,5.74,CL,2024-08-28
92,jamestown,42.097,-79.2353,21.680000000000007,97,0,3.6,US,2024-08-28
93,gojra,31.1487,72.6866,28.660000000000025,73,100,3.82,PK,2024-08-28
94,boone,39.0334,-92.3335,25.470000000000027,93,19,2.86,US,2024-08-28
95,ketchikan,55.3422,-131.6461,13.760000000000048,88,100,1.54,US,2024-08-28
96,vernon,50.2581,-119.2691,10.25,88,87,1.54,CA,2024-08-28
97,coquimbo,-29.9533,-71.3436,11.850000000000023,86,100,1.54,CL,2024-08-28
98,moapa valley,36.5805,-114.4703,32.81,11,0,1.19,US,2024-08-28
99,smithers,54.7804,-127.1743,12.180000000000007,62,75,1.54,CA,2024-08-28
100,hamilton,39.1834,-84.5333,26.58000000000004,77,0,2.57,US,2024-08-28
101,qamdo,31.1667,97.2333,20.02000000000004,33,27,1.32,CN,2024-08-28
102,tazovsky,67.4667,78.7,13.04000000000002,79,44,3.64,RU,2024-08-28
103,st. john's,47.5649,-52.7093,18.32000000000005,90,20,10.8,CA,2024-08-28
104,castlemaine,-37.0667,144.2167,11.82000000000005,63,86,9.99,AU,2024-08-28
105,kosciusko,33.0576,-89.5876,25.870000000000005,54,34,2.22,US,2024-08-28
